2023-05-19 17:58:18,965 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 17:58:18,973 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 17:58:18,974 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 17:58:18,979 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 17:58:23,571 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:1d:96:09:44
2023-05-19 18:03:04,060 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from c0:07:1d:96:09:44
2023-05-19 18:03:54,211 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 18:03:54,213 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 18:03:54,216 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 18:03:54,218 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 18:03:54,221 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 18:03:54,226 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 18:04:01,793 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:1d:96:09:44
2023-05-19 18:12:43,957 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from c0:07:1d:96:09:44
2023-05-19 18:13:52,966 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 18:13:52,967 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 18:13:52,969 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 18:13:52,971 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 18:13:52,974 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 18:13:52,978 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 18:13:59,629 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:1d:96:09:44
2023-05-19 18:25:21,396 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from c0:07:1d:96:09:44
2023-05-19 18:26:03,758 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 18:26:03,759 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 18:26:03,762 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 18:26:03,764 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 18:26:03,766 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 18:26:03,769 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 18:26:04,365 | MainThread   | [ERROR   ] | _connect            |: 'NoneType' object has no attribute 'bluetooth_address'
2023-05-19 18:26:05,376 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-05-19 18:26:05,378 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 18:26:09,466 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:1d:96:09:44
2023-05-19 18:30:22,213 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from c0:07:1d:96:09:44
2023-05-19 18:31:08,949 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 18:31:08,949 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 18:31:08,952 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 18:31:08,954 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 18:31:08,955 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 18:31:08,959 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 18:31:13,355 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:1d:96:09:44
2023-05-19 18:31:58,285 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from c0:07:1d:96:09:44
2023-05-19 18:33:35,375 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 18:33:35,376 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 18:33:35,378 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 18:33:35,380 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 18:33:35,384 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 18:33:35,389 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 18:33:40,433 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:1d:96:09:44
2023-05-19 18:35:55,303 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from c0:07:1d:96:09:44
2023-05-19 18:39:09,204 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 18:39:09,204 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 18:39:09,205 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 18:39:09,207 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 18:39:09,211 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 18:39:09,215 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 18:39:19,257 | MainThread   | [ERROR   ] | _connect            |: Device with address c0:07:1d:96:09:44 was not found.
2023-05-19 18:39:20,274 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-05-19 18:39:20,279 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 18:39:31,235 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:1d:96:09:44
